Time,V(Out),
0,1.9999713336387939,
0.0001,1.9999713336387939,
0.0002,1.9999713336387939,
0.0003,1.9999713336387939,
0.0004,1.9999713336387939,
0.0005,1.9999713336387939,
0.0006,1.9999713336387939,
0.0007,1.9999713336387939,
0.0008,1.9999713336387939,
0.0009,1.9999713336387939,
0.001,-1.9931365204029108,
0.0011,-1.9999626400322208,
0.0012,-1.9999713237701506,
0.0013,-1.9999713336274958,
0.0014,-1.9999713336380496,
0.0015,-1.9999713336380605,
0.0016,-1.9999713336380605,
0.0017,-1.9999713336380605,
0.0018,-1.9999713336380605,
0.0019,-1.9999713336380605,
0.002,1.9931365204036442,
0.0021,1.9999626400329542,
0.0022,1.999971323770884,
0.0023,1.9999713336282292,
0.0024,1.999971333638783,
0.0025,1.9999713336387939,
0.0026,1.9999713336387939,
0.0027,1.9999713336387939,
0.0028,1.9999713336387939,
0.0029,1.9999713336387939,
0.003,-1.9931365204029108,
0.0031,-1.9999626400322208,
0.0032,-1.9999713237701506,
0.0033,-1.9999713336274958,
0.0034,-1.9999713336380496,
0.0035,-1.9999713336380605,
0.0036,-1.9999713336380605,
0.0037,-1.9999713336380605,
0.0038,-1.9999713336380605,
0.0039,-1.9999713336380605,
0.004,1.9931365204036442,
0.0041,1.9999626400329542,
0.0042,1.999971323770884,
0.0043,1.9999713336282292,
0.0044,1.999971333638783,
0.0045,1.9999713336387939,
0.0046,1.9999713336387939,
0.0047,1.9999713336387939,
0.0048,1.9999713336387939,
0.0049,1.9999713336387939,
0.005,-1.9931365204029108,
0.0051,-1.9999626400322208,
0.0052,-1.9999713237701506,
0.0053,-1.9999713336274958,
0.0054,-1.9999713336380496,
0.0055,-1.9999713336380605,
0.0056,-1.9999713336380605,
0.0057,-1.9999713336380605,
0.0058,-1.9999713336380605,
0.0059,-1.9999713336380605,
0.006,1.9931365204036442,
0.0061,1.9999626400329542,
0.0062,1.999971323770884,
0.0063,1.9999713336282292,
0.0064,1.999971333638783,
0.0065,1.9999713336387939,
0.0066,1.9999713336387939,
0.0067,1.9999713336387939,
0.0068,1.9999713336387939,
0.0069,1.9999713336387939,
0.007,-1.9931365204029108,
0.0071,-1.9999626400322208,
0.0072,-1.9999713237701506,
0.0073,-1.9999713336274958,
0.0074,-1.9999713336380496,
0.0075,-1.9999713336380605,
0.0076,-1.9999713336380605,
0.0077,-1.9999713336380605,
0.0078,-1.9999713336380605,
0.0079,-1.9999713336380605,
0.008,1.9931365204036442,
0.0081,1.9999626400329542,
0.0082,1.999971323770884,
0.0083,1.9999713336282292,
0.0084,1.999971333638783,
0.0085,1.9999713336387939,
0.0086,1.9999713336387939,
0.0087,1.9999713336387939,
0.0088,1.9999713336387939,
0.0089,1.9999713336387939,
0.009,1.9999713336387939,
0.0091,-1.9931365204029108,
0.0092,-1.9999626400322208,
0.0093,-1.9999713237701506,
0.0094,-1.9999713336274958,
0.0095,-1.9999713336380496,
0.0096,-1.9999713336380605,
0.0097,-1.9999713336380605,
0.0098,-1.9999713336380605,
0.0099,-1.9999713336380605,
0.01,1.9931365204036442,
0.0101,1.9999626400329542,
0.0102,1.999971323770884,
0.0103,1.9999713336282292,
0.0104,1.999971333638783,
0.0105,1.9999713336387939,
0.0106,1.9999713336387939,
0.0107,1.9999713336387939,
0.0108,1.9999713336387939,
0.0109,1.9999713336387939,
0.011,1.9999713336387939,
0.0111,-1.9931365204029108,
0.0112,-1.9999626400322208,
0.0113,-1.9999713237701506,
0.0114,-1.9999713336274958,
0.0115,-1.9999713336380496,
0.0116,-1.9999713336380605,
0.0117,-1.9999713336380605,
0.0118,-1.9999713336380605,
0.0119,-1.9999713336380605,
0.012,1.9931365204036442,
0.0121,1.9999626400329542,
0.0122,1.999971323770884,
0.0123,1.9999713336282292,
0.0124,1.999971333638783,
0.0125,1.9999713336387939,
0.0126,1.9999713336387939,
0.0127,1.9999713336387939,
0.0128,1.9999713336387939,
0.0129,1.9999713336387939,
0.013,1.9999713336387939,
0.0131,-1.9931365204029108,
0.0132,-1.9999626400322208,
0.0133,-1.9999713237701506,
0.0134,-1.9999713336274958,
0.0135,-1.9999713336380496,
0.0136,-1.9999713336380605,
0.0137,-1.9999713336380605,
0.0138,-1.9999713336380605,
0.0139,-1.9999713336380605,
0.014,1.9931365204036442,
0.0141,1.9999626400329542,
0.0142,1.999971323770884,
0.0143,1.9999713336282292,
0.0144,1.999971333638783,
0.0145,1.9999713336387939,
0.0146,1.9999713336387939,
0.0147,1.9999713336387939,
0.0148,1.9999713336387939,
0.0149,1.9999713336387939,
0.015,1.9999713336387939,
0.0151,-1.9931365204029108,
0.0152,-1.9999626400322208,
0.0153,-1.9999713237701506,
0.0154,-1.9999713336274958,
0.0155,-1.9999713336380496,
0.0156,-1.9999713336380605,
0.0157,-1.9999713336380605,
0.0158,-1.9999713336380605,
0.0159,-1.9999713336380605,
0.016,1.9931365204036442,
0.0161,1.9999626400329542,
0.0162,1.999971323770884,
0.0163,1.9999713336282292,
0.0164,1.999971333638783,
0.0165,1.9999713336387939,
0.0166,1.9999713336387939,
0.0167,1.9999713336387939,
0.0168,1.9999713336387939,
0.0169,1.9999713336387939,
0.017,-1.9931365204029108,
0.0171,-1.9999626400322208,
0.0172,-1.9999713237701506,
0.0173,-1.9999713336274958,
0.0174,-1.9999713336380496,
0.0175,-1.9999713336380605,
0.0176,-1.9999713336380605,
0.0177,-1.9999713336380605,
0.0178,-1.9999713336380605,
0.0179,-1.9999713336380605,
0.018,-1.9999713336380605,
0.0181,1.9931365204036442,
0.0182,1.9999626400329542,
0.0183,1.999971323770884,
0.0184,1.9999713336282292,
0.0185,1.999971333638783,
0.0186,1.9999713336387939,
0.0187,1.9999713336387939,
0.0188,1.9999713336387939,
0.0189,1.9999713336387939,
0.019,-1.9931365204029108,
0.0191,-1.9999626400322208,
0.0192,-1.9999713237701506,
0.0193,-1.9999713336274958,
0.0194,-1.9999713336380496,
0.0195,-1.9999713336380605,
0.0196,-1.9999713336380605,
0.0197,-1.9999713336380605,
0.0198,-1.9999713336380605,
0.0199,-1.9999713336380605,
0.02,1.9931365204036442,
0.0201,1.9999626400329542,
0.0202,1.999971323770884,
0.0203,1.9999713336282292,
0.0204,1.999971333638783,
0.0205,1.9999713336387939,
0.0206,1.9999713336387939,
0.0207,1.9999713336387939,
0.0208,1.9999713336387939,
0.0209,1.9999713336387939,
0.021,-1.9931365204029108,
0.0211,-1.9999626400322208,
0.0212,-1.9999713237701506,
0.0213,-1.9999713336274958,
0.0214,-1.9999713336380496,
0.0215,-1.9999713336380605,
0.0216,-1.9999713336380605,
0.0217,-1.9999713336380605,
0.0218,-1.9999713336380605,
0.0219,-1.9999713336380605,
0.022,-1.9999713336380605,
0.0221,1.9931365204036442,
0.0222,1.9999626400329542,
0.0223,1.999971323770884,
0.0224,1.9999713336282292,
0.0225,1.999971333638783,
0.0226,1.9999713336387939,
0.0227,1.9999713336387939,
0.0228,1.9999713336387939,
0.0229,1.9999713336387939,
0.023,-1.9931365204029108,
0.0231,-1.9999626400322208,
0.0232,-1.9999713237701506,
0.0233,-1.9999713336274958,
0.0234,-1.9999713336380496,
0.0235,-1.9999713336380605,
0.0236,-1.9999713336380605,
0.0237,-1.9999713336380605,
0.0238,-1.9999713336380605,
0.0239,-1.9999713336380605,
0.024,1.9931365204036442,
0.0241,1.9999626400329542,
0.0242,1.999971323770884,
0.0243,1.9999713336282292,
0.0244,1.999971333638783,
0.0245,1.9999713336387939,
0.0246,1.9999713336387939,
0.0247,1.9999713336387939,
0.0248,1.9999713336387939,
0.0249,1.9999713336387939,
0.025,-1.9931365204029108,
0.0251,-1.9999626400322208,
0.0252,-1.9999713237701506,
0.0253,-1.9999713336274958,
0.0254,-1.9999713336380496,
0.0255,-1.9999713336380605,
0.0256,-1.9999713336380605,
0.0257,-1.9999713336380605,
0.0258,-1.9999713336380605,
0.0259,-1.9999713336380605,
0.026,-1.9999713336380605,
0.0261,1.9931365204036442,
0.0262,1.9999626400329542,
0.0263,1.999971323770884,
0.0264,1.9999713336282292,
0.0265,1.999971333638783,
0.0266,1.9999713336387939,
0.0267,1.9999713336387939,
0.0268,1.9999713336387939,
0.0269,1.9999713336387939,
0.027,-1.9931365204029108,
0.0271,-1.9999626400322208,
0.0272,-1.9999713237701506,
0.0273,-1.9999713336274958,
0.0274,-1.9999713336380496,
0.0275,-1.9999713336380605,
0.0276,-1.9999713336380605,
0.0277,-1.9999713336380605,
0.0278,-1.9999713336380605,
0.0279,-1.9999713336380605,
0.028,1.9931365204036442,
0.0281,1.9999626400329542,
0.0282,1.999971323770884,
0.0283,1.9999713336282292,
0.0284,1.999971333638783,
0.0285,1.9999713336387939,
0.0286,1.9999713336387939,
0.0287,1.9999713336387939,
0.0288,1.9999713336387939,
0.0289,1.9999713336387939,
0.029,-1.9931365204029108,
0.0291,-1.9999626400322208,
0.0292,-1.9999713237701506,
0.0293,-1.9999713336274958,
0.0294,-1.9999713336380496,
0.0295,-1.9999713336380605,
0.0296,-1.9999713336380605,
0.0297,-1.9999713336380605,
0.0298,-1.9999713336380605,
0.0299,-1.9999713336380605,
0.03,-1.9999713336380605,
0.0301,1.9931365204036442,
0.0302,1.9999626400329542,
0.0303,1.999971323770884,
0.0304,1.9999713336282292,
0.0305,1.999971333638783,
0.0306,1.9999713336387939,
0.0307,1.9999713336387939,
0.0308,1.9999713336387939,
0.0309,1.9999713336387939,
0.031,-1.9931365204029108,
0.0311,-1.9999626400322208,
0.0312,-1.9999713237701506,
0.0313,-1.9999713336274958,
0.0314,-1.9999713336380496,
0.0315,-1.9999713336380605,
0.0316,-1.9999713336380605,
0.0317,-1.9999713336380605,
0.0318,-1.9999713336380605,
0.0319,-1.9999713336380605,
0.032,1.9931365204036442,
0.0321,1.9999626400329542,
0.0322,1.999971323770884,
0.0323,1.9999713336282292,
0.0324,1.999971333638783,
0.0325,1.9999713336387939,
0.0326,1.9999713336387939,
0.0327,1.9999713336387939,
0.0328,1.9999713336387939,
0.0329,1.9999713336387939,
0.033,-1.9931365204029108,
0.0331,-1.9999626400322208,
0.0332,-1.9999713237701506,
0.0333,-1.9999713336274958,
0.0334,-1.9999713336380496,
0.0335,-1.9999713336380605,
0.0336,-1.9999713336380605,
0.0337,-1.9999713336380605,
0.0338,-1.9999713336380605,
0.0339,-1.9999713336380605,
0.034,1.9931365204036442,
0.0341,1.9999626400329542,
0.0342,1.999971323770884,
0.0343,1.9999713336282292,
0.0344,1.999971333638783,
0.0345,1.9999713336387939,
0.0346,1.9999713336387939,
0.0347,1.9999713336387939,
0.0348,1.9999713336387939,
0.0349,1.9999713336387939,
0.035,-1.9931365204029108,
0.0351,-1.9999626400322208,
0.0352,-1.9999713237701506,
0.0353,-1.9999713336274958,
0.0354,-1.9999713336380496,
0.0355,-1.9999713336380605,
0.0356,-1.9999713336380605,
0.0357,-1.9999713336380605,
0.0358,-1.9999713336380605,
0.0359,-1.9999713336380605,
0.036,-1.9999713336380605,
0.0361,1.9931365204036442,
0.0362,1.9999626400329542,
0.0363,1.999971323770884,
0.0364,1.9999713336282292,
0.0365,1.999971333638783,
0.0366,1.9999713336387939,
0.0367,1.9999713336387939,
0.0368,1.9999713336387939,
0.0369,1.9999713336387939,
0.037,-1.9931365204029108,
0.0371,-1.9999626400322208,
0.0372,-1.9999713237701506,
0.0373,-1.9999713336274958,
0.0374,-1.9999713336380496,
0.0375,-1.9999713336380605,
0.0376,-1.9999713336380605,
0.0377,-1.9999713336380605,
0.0378,-1.9999713336380605,
0.0379,-1.9999713336380605,
0.038,1.9931365204036442,
0.0381,1.9999626400329542,
0.0382,1.999971323770884,
0.0383,1.9999713336282292,
0.0384,1.999971333638783,
0.0385,1.9999713336387939,
0.0386,1.9999713336387939,
0.0387,1.9999713336387939,
0.0388,1.9999713336387939,
0.0389,1.9999713336387939,
0.039,-1.9931365204029108,
0.0391,-1.9999626400322208,
0.0392,-1.9999713237701506,
0.0393,-1.9999713336274958,
0.0394,-1.9999713336380496,
0.0395,-1.9999713336380605,
0.0396,-1.9999713336380605,
0.0397,-1.9999713336380605,
0.0398,-1.9999713336380605,
0.0399,-1.9999713336380605,
0.04,1.9931365204036442,
0.0401,1.9999626400329542,
0.0402,1.999971323770884,
0.0403,1.9999713336282292,
0.0404,1.999971333638783,
0.0405,1.9999713336387939,
0.0406,1.9999713336387939,
0.0407,1.9999713336387939,
0.0408,1.9999713336387939,
0.0409,1.9999713336387939,
0.041,-1.9931365204029108,
0.0411,-1.9999626400322208,
0.0412,-1.9999713237701506,
0.0413,-1.9999713336274958,
0.0414,-1.9999713336380496,
0.0415,-1.9999713336380605,
0.0416,-1.9999713336380605,
0.0417,-1.9999713336380605,
0.0418,-1.9999713336380605,
0.0419,-1.9999713336380605,
0.042,1.9931365204036442,
0.0421,1.9999626400329542,
0.0422,1.999971323770884,
0.0423,1.9999713336282292,
0.0424,1.999971333638783,
0.0425,1.9999713336387939,
0.0426,1.9999713336387939,
0.0427,1.9999713336387939,
0.0428,1.9999713336387939,
0.0429,1.9999713336387939,
0.043,1.9999713336387939,
0.0431,-1.9931365204029108,
0.0432,-1.9999626400322208,
0.0433,-1.9999713237701506,
0.0434,-1.9999713336274958,
0.0435,-1.9999713336380496,
0.0436,-1.9999713336380605,
0.0437,-1.9999713336380605,
0.0438,-1.9999713336380605,
0.0439,-1.9999713336380605,
0.044,-1.9999713336380605,
0.0441,1.9931365204036442,
0.0442,1.9999626400329542,
0.0443,1.999971323770884,
0.0444,1.9999713336282292,
0.0445,1.999971333638783,
0.0446,1.9999713336387939,
0.0447,1.9999713336387939,
0.0448,1.9999713336387939,
0.0449,1.9999713336387939,
0.045,1.9999713336387939,
0.0451,-1.9931365204029108,
0.0452,-1.9999626400322208,
0.0453,-1.9999713237701506,
0.0454,-1.9999713336274958,
0.0455,-1.9999713336380496,
0.0456,-1.9999713336380605,
0.0457,-1.9999713336380605,
0.0458,-1.9999713336380605,
0.0459,-1.9999713336380605,
0.046,1.9931365204036442,
0.0461,1.9999626400329542,
0.0462,1.999971323770884,
0.0463,1.9999713336282292,
0.0464,1.999971333638783,
0.0465,1.9999713336387939,
0.0466,1.9999713336387939,
0.0467,1.9999713336387939,
0.0468,1.9999713336387939,
0.0469,1.9999713336387939,
0.047,1.9999713336387939,
0.0471,-1.9931365204029108,
0.0472,-1.9999626400322208,
0.0473,-1.9999713237701506,
0.0474,-1.9999713336274958,
0.0475,-1.9999713336380496,
0.0476,-1.9999713336380605,
0.0477,-1.9999713336380605,
0.0478,-1.9999713336380605,
0.0479,-1.9999713336380605,
0.048,1.9931365204036442,
0.0481,1.9999626400329542,
0.0482,1.999971323770884,
0.0483,1.9999713336282292,
0.0484,1.999971333638783,
0.0485,1.9999713336387939,
0.0486,1.9999713336387939,
0.0487,1.9999713336387939,
0.0488,1.9999713336387939,
0.0489,1.9999713336387939,
0.049,-1.9931365204029108,
0.0491,-1.9999626400322208,
0.0492,-1.9999713237701506,
0.0493,-1.9999713336274958,
0.0494,-1.9999713336380496,
0.0495,-1.9999713336380605,
0.0496,-1.9999713336380605,
0.0497,-1.9999713336380605,
0.0498,-1.9999713336380605,
0.0499,-1.9999713336380605,
