Frequency,DB(MAG(V(Out))),PHDEG(V(Out)),
10,-37.187830493368494,89.71139890908296,
10.230597298425085,-36.98979972934685,89.70474341672094,
10.466512108254266,-36.791768453934914,89.69793442012097,
10.707867049863953,-36.59373664327592,89.69096837736606,
10.954787571223315,-36.39570427240017,89.6838416647113,
11.207402013097795,-36.19767131517313,89.67655057468617,
11.465841675756218,-35.99963774424109,89.66909131415231,
11.730240887216132,-35.80160353097427,89.66146000231566,
12.000737073062883,-35.60356864540729,89.65365266869192,
12.277470827878691,-35.405533056176935,89.64566525102417,
12.560585988318852,-35.20749673045682,89.63749359315138,
12.850229707873083,-35.00945963388926,89.6291334428268,
13.146552533350814,-34.811421730513764,89.62058044948488,
13.44970848313023,-34.61338298269231,89.61183016195535,
13.75985512721171,-34.41534335103102,89.60287802612342,
14.077153669117267,-34.21730279429834,89.59371938253449,
14.40176902967859,-34.01926126933927,89.58434946394219,
14.733869932757184,-33.82121873098563,89.57476339279823,
15.073628992941225,-33.623175131962164,89.56495617868262,
15.421222805264653,-33.42513042278825,89.55492271567284,
15.776832036995188,-33.22708455167503,89.5446577796502,
16.14064152153893,-33.02903746441771,89.5341560255421,
16.512840354510395,-32.830989104282914,89.52341198449848,
16.893621992017877,-32.63293941189065,89.51242006100038,
17.283184351215272,-32.43488832509095,89.50117452989969,
17.681729913172568,-32.23683577883459,89.48966953338733,
18.08946582811853,-32.03878170503788,89.477899077889,
18.50660402311023,-31.840726032441097,89.46585703088576,
18.933361312185436,-31.642668686460354,89.45353711765799,
19.369959509055036,-31.44460958903253,89.44093291795068,
19.816625542394174,-31.246548658452998,89.4280378625577,
20.27359157379194,-31.048485809205726,89.41484522982321,
20.74109511842094,-30.850420951785534,89.40134814205781,
21.2193791684895,-30.652353992511994,89.38753956186716,
21.70869231954062,-30.454284833334686,89.37341228839091,
22.209288899663367,-30.256213371629364,89.35895895344913,
22.721429101683828,-30.058139499984623,89.3441720175941,
23.24537911840437,-29.860063105978575,89.3290437660646,
23.781411280961464,-29.661984071945202,89.31356630464005,
24.32980420037402,-29.463902274729673,89.29773155539188,
24.890842912355776,-29.265817585432423,89.2815312523289,
25.46481902546702,-29.067729869141136,89.26495693693407,
26.05203087268266,-28.86963898465033,89.24799995358919,
26.652783666455413,-28.671544784167835,89.2306514448846,
27.267389657354702,-28.47344711300758,89.21290234681042,
27.89616829636371,-28.275345809268064,89.19474338382578,
28.53944640091901,-28.077240703495814,89.17616506380254,
29.197558324778957,-27.879131618333197,89.15715767283997,
29.870846131809245,-27.681018368149754,89.13771126994604,
30.55965977377591,-27.482900758656385,89.11781568158166,
31.264357272238158,-27.284778586501517,89.09746049606368,
31.985304904635637,-27.086651638848494,89.07663505782195,
32.722877394666796,-26.88851969293319,89.05532846150636,
33.477458107057345,-26.69038251560106,89.03352954593878,
34.24943924681999,-26.492239862822586,89.01122688790504,
35.039222063109065,-26.29409147918614,88.98840879578192,
35.84721705777602,-26.09593709736718,88.96506330299376,
36.6738441987341,-25.89777643757275,88.94117816129294,
37.51953313824316,-25.699609206960076,88.91674083385858,
38.38472343622809,-25.501435099028008,88.89173848820725,
39.26986478874692,-25.303253792980176,88.86615798890928,
40.17541726172727,-25.10506495305842,88.83998589010406,
41.10185153009275,-24.906868227845194,88.81320842780737,
42.049649122403586,-24.70866324953338,88.78581151200319,
43.01930267113849,-24.510449633162185,88.75778071851275,
44.01131616874805,-24.312226975817357,88.7291012806322,
45.02620522961261,-24.11399485579419,88.69975808053107,
46.064497358040825,-23.91575283172146,88.66973564040228,
47.12673222244819,-23.71750044164463,88.63901811335441,
48.21346193585809,-23.51923720206632,88.6075892740368,
49.32525134287105,-23.320962606942047,88.57543250898672,
50.46267831325149,-23.12267612662924,88.54253080668843,
51.62633404228448,-22.924377206787288,88.50886674733202,
52.81682335805866,-22.72606526722636,88.47442249226093,
54.034765035834994,-22.527739700702636,88.43917977309474,
55.280792119664774,-22.329399871657426,88.40311988051461,
56.55555225142412,-22.131045114897614,88.36622365269696,
57.859708007435835,-21.932674734214668,88.32847146338072,
59.193937242853735,-21.73428800093936,88.28984320955284,
60.558933443988344,-21.535884152429244,88.250318298735,
61.95540608875717,-21.337462390485744,88.20987563585486,
63.384081015446824,-21.139021879697598,88.16849360968287,
64.8457007999787,-20.940561745707253,88.12615007881546,
66.34102514187435,-20.742081073396605,88.08282235718391,
67.87083125912105,-20.543578904988372,88.03848719906743,
69.43591429214285,-20.345054238059223,87.99312078358678,
71.03708771708725,-20.146506023460468,87.94669869865449,
72.67518376864187,-19.9479331631422,87.89919592435555,
74.35105387260141,-19.74933450787625,87.85058681573112,
76.0655690884094,-19.550708854873378,87.8008450849358,
77.81962056190478,-19.352054945289794,87.74994378273796,
79.61411998850883,-19.153371461617905,87.69785527932974,
81.45000008709292,-18.95465702495586,87.64455124441209,
83.32821508477357,-18.755910192150477,87.59000262651738,
85.2497412128869,-18.557129452807498,87.53417963153025,
87.21557721439984,-18.358313226163247,87.47705170036456,
89.22674486302235,-18.15945985781122,87.4185874857515,
91.28428949429008,-17.96056761627691,87.35875482809159,
93.38928054889375,-17.761634689433993,87.29752073031908,
95.54281212853748,-17.562659180754494,87.23485133172545,
97.7460035646151,-17.36363910538536,87.1707118806835,
100,-17.16457238604352,87.105066706211,
102.30597298425086,-16.965456848721065,87.03787918830808,
104.66512108254265,-16.76629021819194,86.96911172699798,
107.07867049863954,-16.56707011331102,86.89872570999684,
109.54787571223315,-16.367794042096182,86.82668147893195,
112.07402013097796,-16.168459396583476,86.75293829402347,
114.65841675756218,-15.969063447445055,86.67745429713801,
117.30240887216131,-15.769603338359245,86.60018647311658,
120.00737073062884,-15.570076080121352,86.52109060927201,
122.7747082787869,-15.370478544483705,86.44012125294451,
125.60585988318853,-15.170807457712616,86.35723166699516,
128.50229707873083,-14.97105939384967,86.27237378310934,
131.46552533350814,-14.771230767663987,86.1854981527724,
134.49708483130232,-14.571317827281772,86.09655389577058,
137.5985512721171,-14.37131664647881,86.005488646059,
140.77153669117268,-14.171223116620904,85.91224849482737,
144.0176902967859,-13.97103293823684,85.81677793058144,
147.33869932757185,-13.770741612207654,85.71901977604536,
150.73628992941224,-13.570344430555519,85.61891512167493,
154.21222805264654,-13.369836466814812,85.51640325555692,
157.76832036995188,-13.169212565967381,85.41142158945198,
161.40641521538933,-12.968467333923241,85.30390558072139,
165.12840354510396,-12.767595126527441,85.1937886498574,
168.9362199201788,-12.56659003807299,85.08100209331587,
172.83184351215272,-12.365445889299275,84.96547499132733,
176.8172991317257,-12.164156214854568,84.84713411033665,
180.8946582811853,-11.962714250200671,84.72590379969552,
185.06604023110233,-11.761112917937142,84.60170588220166,
189.33361312185437,-11.559344813521914,84.4744595380477,
193.69959509055036,-11.35740219036453,84.3440811817075,
198.16625542394175,-11.155276944267777,84.21048433125067,
202.73591573791938,-10.952960597193067,84.07357946953508,
207.41095118420938,-10.75044428032439,83.93327389668308,
212.193791684895,-10.547718716405585,83.78947157319912,
217.0869231954062,-10.344774201325404,83.64207295303392,
222.0928889966337,-10.141600584924783,83.49097480584382,
227.2142910168383,-9.938187251000988,83.3360700276314,
232.4537911840437,-9.734523096483587,83.17724743888667,
237.81411280961464,-9.530596509757741,83.01439156927368,
243.29804200374022,-9.326395348111308,82.84738242782775,
248.90842912355777,-9.121906914283347,82.67609525754045,
254.6481902546702,-8.917117932093252,82.50040027311425,
260.5203087268266,-8.71201452113189,82.32016238056346,
266.5278366645542,-8.5065821704987,82.13524087722458,
272.673896573547,-8.300805711572018,81.94548913061382,
278.96168296363714,-8.094669289804,81.75075423443258,
285.39446400919013,-7.8881563355364435,81.55087663987263,
291.9755832477896,-7.681249533839879,81.34568976020795,
298.7084613180925,-7.473930793385523,81.13501954648115,
305.5965977377591,-7.266181214368475,80.91868403189521,
312.6435727223816,-7.057981055510922,80.69649284230503,
319.8530490463564,-6.849309700186511,80.46824666996679,
327.228773946668,-6.640145621721868,80.23373670744242,
334.77458107057345,-6.430466347948581,79.99274403827177,
342.49439246819986,-6.220248425099738,79.74503898071073,
350.39222063109065,-6.009467381169443,79.49038038049,
358.47217057776027,-5.79809768888239,79.2285148481704,
366.73844198734105,-5.586112728454591,78.95917593625632,
375.1953313824316,-5.3734847503660195,78.68208325077143,
383.847234362281,-5.160184838412849,78.39694149150172,
392.69864788746924,-4.946182873362012,78.10343941455947,
401.7541726172727,-4.731447497595414,77.80124871032035,
411.0185153009275,-4.515946081207119,77.49002278912374,
420.4964912240359,-4.299644690106068,77.16939546640255,
430.1930267113849,-4.082508056781457,76.83897953811687,
440.1131616874805,-3.8644995545110654,76.49836523649974,
450.2620522961261,-3.6455811759370884,76.14711855517997,
460.64497358040825,-3.4257135171036825,75.78477943172025,
471.2673222244819,-3.2048557682496095,75.41085977449401,
482.1346193585809,-2.9829657128833977,75.02484131962153,
493.2525134287105,-2.7599997369433935,74.62617330238827,
504.62678313251484,-2.535912850168237,74.21426992618174,
516.2633404228449,-2.3106587221831,73.7885076105076,
528.1682335805866,-2.084189736253595,73.34822199809092,
540.3476503583499,-1.8564570641841036,72.89270469944903,
552.8079211966477,-1.6274107664545592,72.42119975165926,
565.5555225142411,-1.3969999224150478,71.9328997663726,
578.5970800743584,-1.165172796210486,71.42694174049095,
591.9393724285374,-0.9318770451093276,70.90240250139793,
605.5893344398835,-0.6970599780867609,70.3582937573044,
619.5540608875717,-0.46066887389337074,69.79355672226681,
633.8408101544683,-0.22265136945817557,69.20705628492829,
648.457007999787,0.0170440686309005,68.59757469024476,
663.4102514187435,0.2584675746133037,67.96380470469332,
678.7083125912104,0.5016671984734403,67.30434223810477,
694.3591429214285,0.7466880847566246,66.61767839983692,
710.3708771708725,0.9935714912799174,65.90219097416767,
726.7518376864186,1.2423536197363332,65.15613531040182,
743.5105387260141,1.4930642256134228,64.3776346383504,
760.655690884094,1.7457249696478976,63.564669840961116,
778.1962056190479,2.0003474671935453,62.715068744728256,
796.1411998850883,2.2569309853982666,61.826495027318046,
814.5000008709292,2.515459731029535,60.896436893377185,
833.2821508477357,2.7758996642971634,59.922195737145074,
852.497412128869,3.0381947663612894,58.900875098364075,
872.1557721439983,3.30226268081918,57.82937033093871,
892.2674486302234,3.567989643023528,56.70435954742847,
912.8428949429008,3.835224606627644,55.52229658298348,
933.8928054889375,4.103772475776344,54.27940694623572,
955.4281212853747,4.373386355977191,52.971687998078224,
977.460035646151,4.6437587497929504,51.5949149268664,
1000,4.914511648955814,50.144654471747145,
1023.0597298425085,5.185185517301843,48.61628877991898,
1046.6512108254267,5.455227225239927,47.00505225395621,
1070.7867049863953,5.723977093572178,45.30608472164474,
1095.4787571223317,5.990655340289294,43.51450469018327,
1120.7402013097796,6.254348406048841,41.625506745230254,
1146.5841675756217,6.513995867819285,39.63448719982,
1173.0240887216132,6.76837893594486,37.53720171979876,
1200.0737073062883,7.016111858582701,35.32995763733643,
1227.747082787869,7.255637905086798,33.009841767435255,
1256.0585988318853,7.48523192141841,30.574981524310743,
1285.0229707873084,7.703011674930187,28.024832826941257,
1314.6552533350814,7.906960234822199,25.36048269176562,
1344.970848313023,8.094961350764912,22.58494784525694,
1375.9855127211708,8.264849079605922,19.703443893063763,
1407.7153669117267,8.414471690743511,16.72359380354533,
1440.176902967859,8.541768164100043,13.655541387513479,
1473.3869932757184,8.644853526976549,10.51193692248696,
1507.3628992941226,8.722107167021434,7.307769548325662,
1542.1222805264654,8.772256556754945,4.060034978561636,
1577.6832036995188,8.79444802562277,0.7872462267416029,
1614.0641521538932,8.788296709021225,-2.49118356382303,
1651.2840354510395,8.753909714792268,-5.755637788233555,
1689.362199201788,8.691879635495734,-8.987011387492881,
1728.3184351215273,8.603249217387095,-12.167380015886216,
1768.1729913172567,8.489451509955533,-15.280566686012477,
1808.946582811853,8.352232451312872,-18.31256530779547,
1850.6604023110233,8.19356414840577,-21.251801321356947,
1893.3361312185436,8.015557009795717,-24.089230517063108,
1936.9959509055036,7.820377640162178,-26.818294286928996,
1981.6625542394174,7.6101774663438,-29.43476071979315,
2027.359157379194,7.38703492536861,-31.936485695762112,
2074.109511842094,7.152912101119841,-34.323127416168866,
2121.93791684895,6.909625186263849,-36.595843331379584,
2170.869231954062,6.6588271515854185,-38.756992023924724,
2220.9288899663366,6.402000490988747,-40.80985578524535,
2272.142910168383,6.140457777176291,-42.75839341806746,
2324.537911840437,5.875347890224206,-44.60702774453083,
2378.1411280961465,5.607666058206797,-46.36046856383124,
2432.980420037402,5.338266188966853,-48.023569297979016,
2489.0842912355774,5.067874315704772,-49.60121408065318,
2546.481902546702,4.797102291081344,-51.09823133380573,
2605.203087268266,4.526461128211531,-52.51932970536293,
2665.2783666455416,4.2563735978756,-53.86905241402117,
2726.73896573547,3.987185852453689,-55.1517464150926,
2789.616829636371,3.7191779651384342,-56.37154325937642,
2853.944640091901,3.4525733557887306,-57.53234899573575,
2919.7558324778956,3.1875471300750404,-58.637840925341955,
2987.0846131809244,2.924233393160802,-59.69146942867562,
3055.965977377591,2.6627316187259753,-60.696463445598816,
3126.435727223816,2.4031121631512042,-61.65583849251303,
3198.5304904635636,2.14542101656584,-62.5724063518976,
3272.28773946668,1.889683879770006,-63.44878577370921,
3347.7458107057346,1.6359096505238944,-64.28741369231925,
3424.9439246819984,1.3840933958452253,-65.09055659126177,
3503.9222063109064,1.1342188792205794,-65.86032175104407,
3584.7217057776024,0.8862607041896875,-66.59866819195265,
3667.3844198734105,0.6401861282296757,-67.30741718605032,
3751.953313824316,0.3959565942781347,-67.98826225623911,
3838.4723436228096,0.15352902081180925,-68.64277861582056,
3926.9864788746922,-0.08714311401959206,-69.27243202665082,
4017.5417261727266,-0.3261088637141054,-69.87858707249066,
4110.185153009275,-0.5634190539822959,-70.4625148570431,
4204.964912240359,-0.7991256501014021,-71.02540014537696,
4301.930267113849,-1.0332812319053637,-71.56834797316047,
4401.131616874805,-1.2659385600507345,-72.09238975227052,
4502.620522961261,-1.4971502195333968,-72.59848890215522,
4606.449735804083,-1.7269683286965947,-73.0875460390916,
4712.673222244819,-1.9554443034574582,-73.56040375276955,
4821.3461935858095,-2.1826286683079545,-74.01785100166002,
4932.525134287105,-2.4085709066323626,-74.46062715472291,
5046.267831325149,-2.633319344222232,-74.889425708022,
5162.633404228448,-2.8569210606472595,-75.30489770145742,
5281.682335805866,-3.0794218240081066,-75.7076548600489,
5403.476503583499,-3.3008660452701246,-76.09827248247751,
5528.0792119664775,-3.5212967489119795,-76.47729209746699,
5655.5552251424115,-3.740755557165679,-76.84522390764224,
5785.970800743584,-3.959282685500473,-77.20254903839992,
5919.3937242853735,-4.176916947372094,-77.5497216083578,
6055.893344398834,-4.39369576656642,-77.88717063613439,
6195.540608875717,-4.6096551957100536,-78.21530179753849,
6338.408101544683,-4.824829939753138,-78.53449904543827,
6484.57007999787,-5.039253383391721,-78.84512610397019,
6634.102514187435,-5.252957621589383,-79.14752784766772,
6787.083125912104,-5.465973492457589,-79.44203157488495,
6943.591429214286,-5.678330611899775,-79.72894818462582,
7103.708771708725,-5.890057409491168,-80.00857326444692,
7267.518376864186,-6.101181165177485,-80.28118809694377,
7435.1053872601415,-6.311728046436962,-80.54706059163782,
7606.55690884094,-6.521723145589927,-80.80644614792277,
7781.962056190479,-6.7311905170320605,-81.05958845515772,
7961.411998850884,-6.940153214173931,-81.30672023463788,
8145.000008709291,-7.1486333259253385,-81.54806392825103,
8332.821508477356,-7.356652012594504,-81.78383233812608,
8524.97412128869,-7.564229541086125,-82.01422922098713,
8721.557721439984,-7.771385319323724,-82.23944984096156,
8922.674486302234,-7.978137929823099,-82.4596814840031,
9128.428949429008,-8.184505162370739,-82.67510393692032,
9338.928054889375,-8.390504045776497,-82.88588993388016,
9554.281212853748,-8.59615087866448,-83.09220557262107,
9774.60035646151,-8.80146125930259,-83.29421070300923,
10000,-9.00645011445326,-83.49205928980084,
10230.597298425086,-9.211131727253672,-83.68589975172132,
10466.512108254266,-9.415519764125174,-83.87587527848916,
10707.867049863953,-9.619627300726208,-84.06212412754557,
10954.787571223316,-9.823466846966214,-84.24477990202791,
11207.402013097795,-10.027050371089004,-84.42397181116912,
11465.841675756217,-10.23038932285535,-84.59982491468132,
11730.240887216132,-10.433494655840363,-84.77246035207394,
12000.737073062883,-10.636376848870992,-84.94199555815773,
12277.47082787869,-10.839045926626852,-85.10854446557492,
12560.585988318853,-11.041511479431831,-85.27221769546395,
12850.229707873084,-11.243782682258091,-85.43312273694642,
13146.552533350814,-11.445868312973158,-85.59136411633018,
13449.70848313023,-11.64777676985013,-85.7470435567339,
13759.85512721171,-11.849516088373642,-85.90026012878886,
14077.153669117268,-12.05109395735998,-86.05111039304872,
14401.76902967859,-12.252517734422367,-86.19968853468711,
14733.869932757185,-12.453794460803916,-86.34608649107037,
15073.628992941225,-12.654930875601682,-86.49039407257074,
15421.222805264653,-12.855933429408768,-86.63269907725802,
15776.832036995189,-13.056808297394696,-86.77308739973286,
16140.641521538932,-13.257561391848844,-86.91164313460673,
16512.840354510397,-13.458198374208324,-87.04844867493719,
16893.621992017877,-13.658724666592281,-87.18358480601374,
17283.184351215274,-13.859145462863035,-87.31713079475266,
17681.729913172567,-14.059465739235435,-87.4491644750601,
18089.46582811853,-14.259690264451278,-87.5797623293481,
18506.604023110234,-14.459823609543013,-87.70899956660355,
18933.361312185436,-14.659870157198645,-87.83695019708625,
19369.959509055036,-14.859834110751896,-87.96368710402247,
19816.625542394177,-15.05971950280927,-88.0892821123711,
20273.59157379194,-15.25953020353534,-88.21380605499564,
20741.09511842094,-15.459269928608881,-88.33732883628984,
21219.3791684895,-15.658942246867456,-88.45991949354182,
21708.69231954062,-15.858550587653957,-88.58164625609234,
22209.288899663366,-16.058098247880757,-88.7025766025386,
22721.42910168383,-16.257588398824282,-88.82277731601441,
23245.37911840437,-16.457024092664447,-88.94231453778619,
23781.411280961463,-16.656408268781327,-89.0612538191962,
24329.80420037402,-16.855743759821724,-89.17966017214005,
24890.842912355776,-17.055033297547855,-89.29759811810128,
25464.81902546702,-17.254279518479724,-89.41513173595632,
26052.03087268266,-17.453484969343055,-89.53232470855214,
26652.783666455416,-17.652652112332614,-89.64924036816494,
27267.389657354703,-17.85178333020285,-89.76594174097391,
27896.16829636371,-18.050880931195266,-89.88249159057537,
28539.446400919012,-18.249947153812695,-89.99895246062519,
29197.55832477896,-18.44898417145029,-90.11538671671072,
29870.846131809245,-18.647994096892457,-90.23185658746372,
30559.659773775908,-18.846978986685343,-90.34842420505892,
31264.357272238158,-19.04594084539261,-90.46515164505193,
31985.304904635635,-19.24488162974462,-90.58210096572503,
32722.8773946668,-19.443803252688483,-90.69933424692513,
33477.45810705735,-19.64270758734749,-90.81691362844394,
34249.43924681999,-19.841596470898033,-90.93490134805914,
35039.22206310907,-20.040471708371886,-91.05335977918094,
35847.217057776026,-20.239335076391757,-91.17235146825735,
36673.84419873411,-20.43818832684726,-91.29193917188212,
37519.53313824316,-20.637033190519226,-91.41218589372009,
38384.723436228094,-20.83587138065976,-91.53315492127217,
39269.86478874692,-21.034704596534805,-91.65490986246735,
40175.41726172726,-21.233534526937206,-91.77751468221189,
41101.851530092754,-21.43236285367635,-91.90103373884524,
42049.649122403585,-21.631191255052652,-92.0255318205846,
43019.30267113849,-21.830021409323127,-92.15107418199737,
44011.31616874805,-22.028854998164938,-92.27772658044643,
45026.20522961261,-22.227693710144667,-92.40555531272169,
46064.49735804082,-22.426539244199713,-92.53462725167822,
47126.73222244819,-22.625393313138584,-92.66500988303534,
48213.46193585809,-22.824257647167983,-92.7967713423702,
49325.251342871044,-23.02313399745285,-92.92998045227108,
50462.67831325148,-23.222024139716684,-93.06470675969946,
51626.33404228448,-23.42092987788991,-93.20102057364439,
52816.82335805866,-23.619853047812356,-93.3389930029984,
54034.76503583499,-23.81879552099824,-93.47869599477283,
55280.79211966477,-24.01775920847042,-93.62020237261699,
56555.55225142412,-24.21674606467155,-93.76358587569415,
57859.70800743584,-24.41575809145991,-93.90892119793511,
59193.93724285373,-24.614797342197456,-94.0562840277032,
60558.933443988346,-24.81386592593807,-94.205751087865,
61955.406088757176,-25.012966011724004,-94.35740017633533,
63384.08101544683,-25.212099832998742,-94.51131020709454,
64845.7007999787,-25.41126969214472,-94.6675612516922,
66341.02514187436,-25.6104779651544,-94.82623458131248,
67870.83125912104,-25.809727106443155,-94.98741270933604,
69435.91429214286,-26.009019653813734,-95.15117943454604,
71037.08771708726,-26.208358233580338,-95.31761988488523,
72675.18376864187,-26.40774556586279,-95.48682056185208,
74351.0538726014,-26.60718447005981,-95.65886938556599,
76065.5690884094,-26.806677870511237,-95.83385574049271,
77819.62056190478,-27.006228802359832,-96.01187052186677,
79614.11998850884,-27.205840417622287,-96.1930061828787,
81450.0000870929,-27.405515991481025,-96.37735678257485,
83328.21508477358,-27.605258928806684,-96.56501803457166,
85249.7412128869,-27.80507277092337,-96.75608735656009,
87215.57721439983,-28.004961202627744,-96.95066392066555,
89226.74486302234,-28.204928059473406,-97.14884870466324,
91284.28949429007,-28.404977335333523,-97.35074454409092,
93389.28054889374,-28.605113190253046,-97.55645618529806,
95542.81212853748,-28.805339958603852,-97.76609033942795,
97746.0035646151,-29.00566215755497,-97.97975573742664,
100000,-29.206084495872265,-98.19756318602853,
102305.97298425085,-29.406611883059607,-98.41962562484117,
104665.12108254265,-29.60724943885626,-98.6460581844778,
107078.67049863953,-29.8080025031037,-98.87697824585553,
109547.87571223316,-30.008876645996974,-99.11250550063501,
112074.02013097795,-30.20987767873359,-99.35276201287449,
114658.41675756217,-30.41101166457586,-99.59787228192731,
117302.40887216131,-30.61228493034034,-99.84796330664197,
120007.37073062883,-30.813704078329913,-100.10316465087477,
122774.7082787869,-31.015275998722604,-100.36360851042801,
125605.85988318853,-31.21700788243278,-100.62942978139196,
128502.29707873083,-31.418907234458924,-100.90076613000625,
131465.52533350815,-31.62098188773346,-101.17775806406635,
134497.08483130232,-31.82324001748794,-101.46054900593897,
137598.5512721171,-32.025690156149665,-101.74928536729165,
140771.5366911727,-32.22834120878195,-102.04411662555827,
144017.6902967859,-32.43120246908297,-102.3451954022504,
147338.69932757184,-32.634283635954766,-102.65267754320077,
150736.28992941225,-32.837594830656435,-102.96672220080751,
154212.22805264653,-33.04114661455079,-103.28749191842151,
157768.3203699519,-33.244950007456964,-103.6151527169347,
161406.4152153893,-33.44901650661574,-103.94987418374959,
165128.40354510397,-33.65335810627822,-104.29182956419815,
168936.2199201788,-33.8579873179223,-104.64119585557256,
172831.84351215273,-34.062917191099515,-104.99815390400431,
176817.29913172568,-34.26816133491918,-105.36288850418943,
180894.6582811853,-34.473733940163,-105.73558850237471,
185066.04023110232,-34.6796498020341,-106.11644690256018,
189333.61312185437,-34.8859243435262,-106.50566097640427,
193699.59509055037,-35.09257363940907,-106.90343237688926,
198166.25542394174,-35.29961444081306,-107.30996725610139,
202735.9157379194,-35.507064200393486,-107.72547638746556,
207410.95118420938,-35.714941098051156,-108.15017529272393,
212193.791684895,-35.92326406718102,-108.58428437402834,
217086.9231954062,-36.132052821406795,-109.02802905162426,
222092.88899663367,-36.34132788176434,-109.4816399075258,
227214.29101683828,-36.55111060427379,-109.94535283574317,
232453.7911840437,-36.7614232078469,-110.41940919955121,
237814.11280961463,-36.97228880245059,-110.90405599651749,
243298.0420037402,-37.183731417446936,-111.39954603190026,
248908.42912355775,-37.39577603001414,-111.90613810122247,
254648.1902546702,-37.608448593534014,-112.42409718285603,
260520.3087268266,-37.821776065824,-112.95369464154643,
266527.83666455414,-38.035786437068815,-113.49520844386419,
272673.896573547,-38.250508757287754,-114.04892338682218,
278961.6829636371,-38.46597316315088,-114.6151313407898,
285394.4640091901,-38.682210903941616,-115.19413150817685,
291975.5832477896,-38.89925436642218,-115.7862306993552,
298708.4613180925,-39.117137098341885,-116.3917436275021,
305596.5977377591,-39.335893830287986,-117.0109932242323,
312643.57272238156,-39.55556049554238,-117.64431097803464,
319853.04904635635,-39.77617424757523,-118.29203729763434,
327228.77394666796,-39.99777347474375,-118.95452190290774,
334774.5810705735,-40.22039781173524,-119.63212424579798,
342494.39246819983,-40.44408814722139,-120.32521396423688,
350392.22063109063,-40.66888662713056,-121.03417137230753,
358472.17057776026,-40.894836652892906,-121.75938798985104,
366738.44198734104,-41.12198287390061,-122.50126711552618,
375195.3313824316,-41.3503711733739,-123.26022444721758,
383847.234362281,-41.58004864671232,-124.03668875411606,
392698.6478874692,-41.8110635712903,-124.83110260532027,
401754.17261727265,-42.04346536656213,-125.6439231598283,
411018.5153009275,-42.277304543175525,-126.47562302350266,
420496.49122403585,-42.512632639671864,-127.32669117845555,
430193.0267113849,-42.74950214515196,-128.197633991172,
440113.1616874805,-42.98796640611663,-129.08897630555404,
450262.0522961261,-43.228079515461744,-130.00126262754213,
460644.9735804082,-43.46989618138392,-130.9350584081835,
471267.3222244819,-43.71347157366638,-131.89095143196957,
482134.6193585809,-43.95886114451663,-132.86955331764688,
493252.51342871046,-44.20612042080134,-133.8715011381647,
504626.78313251486,-44.45530476411503,-134.89745916654667,
516263.3404228448,-44.70646909473017,-135.94812075362867,
528168.2335805866,-44.95966757497214,-137.024210342966,
540347.6503583499,-45.21495324703573,-138.12648562716888,
552807.9211966477,-45.472377619695486,-139.25573984781545,
565555.5225142412,-45.73199019767665,-140.41280423954726,
578597.0800743584,-45.9938379467676,-141.59855061539258,
591939.3724285373,-46.25796468694117,-142.81389408697163,
605589.3344398835,-46.52441040492788,-144.0597959082814,
619554.0608875718,-46.79321047674549,-145.33726642559012,
633840.8101544683,-47.06439478972083,-146.6473681081661,
648457.007999787,-47.337986752543756,-147.99121862523825,
663410.2514187435,-47.614002180817906,-149.3699939225626,
678708.3125912105,-47.89244804461295,-150.78493123738934,
694359.1429214285,-48.173321063499266,-152.23733197347082,
710370.8771708725,-48.45660613376833,-153.72856433602576,
726751.8376864187,-48.74227457194526,-155.26006560131793,
743510.5387260141,-49.03028215841321,-156.83334386552005,
760655.690884094,-49.320566965292585,-158.44997908169773,
778196.2056190479,-49.61304695368614,-160.1116231525902,
796141.1998850884,-49.90761732746059,-161.8199987992528,
814500.0008709291,-50.20414763402502,-163.57689687192735,
833282.1508477357,-50.50247860779409,-165.3841717093337,
852497.412128869,-50.80241875934314,-167.2437340881055,
872155.7721439984,-51.10374072357754,-169.15754123519025,
892267.4486302234,-51.40617739397058,-171.1275833076518,
912842.8949429007,-51.70941788790671,-173.1558656794486,
933892.8054889374,-52.01310341104577,-175.2443863208194,
955428.1212853747,-52.31682311702906,-177.39510752170722,
977460.0356461509,-52.620110093001564,-179.60992120881596,
1000000,-52.92243764173304,-181.89060715013838,